device_id,timestamp,temperature,predicted_temperature,is_deviation
device_2,2025-04-19 00:00:00,20.812,21.349945,0
device_2,2025-04-19 00:01:00,20.937,21.353922,0
device_2,2025-04-19 00:02:00,16.5,21.318226,1
device_2,2025-04-19 00:03:00,13.625,21.042875,1
device_2,2025-04-19 00:04:00,13.375,19.866161,1
device_2,2025-04-19 00:05:00,13.375,18.726053,1
device_2,2025-04-19 00:06:00,13.25,17.604027,1
device_2,2025-04-19 00:07:00,13.25,16.669039,1
device_2,2025-04-19 00:08:00,13.125,16.461027,1
device_2,2025-04-19 00:09:00,13.0,16.362854,1
device_2,2025-04-19 00:10:00,12.937,16.336678,1
device_2,2025-04-19 00:11:00,15.937,16.336678,0
device_2,2025-04-19 00:12:00,18.312,16.674843,0
device_2,2025-04-19 00:13:00,19.437,16.862387,1
device_2,2025-04-19 00:14:00,19.937,16.84857,1
device_2,2025-04-19 00:15:00,20.312,16.841066,1
device_2,2025-04-19 00:16:00,20.437,16.841066,1
device_2,2025-04-19 00:17:00,20.562,17.545527,1
device_2,2025-04-19 00:18:00,20.75,17.66224,1
device_2,2025-04-19 00:19:00,20.875,17.67158,1
device_2,2025-04-19 00:20:00,21.0,18.024847,1
device_2,2025-04-19 00:21:00,15.75,18.23704,1
device_2,2025-04-19 00:22:00,13.375,18.186943,1
device_2,2025-04-19 00:23:00,13.187,18.22047,1
device_2,2025-04-19 00:24:00,13.562,18.251982,1
device_2,2025-04-19 00:25:00,13.75,18.274046,1
device_2,2025-04-19 00:26:00,13.562,18.377506,1
device_2,2025-04-19 00:27:00,13.312,18.398985,1
device_2,2025-04-19 00:28:00,13.0,18.395323,1
device_2,2025-04-19 00:29:00,12.75,18.541796,1
device_2,2025-04-19 00:30:00,12.687,19.498737,1
device_2,2025-04-19 00:31:00,16.625,19.510153,1
device_2,2025-04-19 00:32:00,18.687,19.394983,0
device_2,2025-04-19 00:33:00,19.562,19.202047,0
device_2,2025-04-19 00:34:00,20.062,19.180569,0
device_2,2025-04-19 00:35:00,20.312,19.014944,0
device_2,2025-04-19 00:36:00,20.562,18.996386,0
device_2,2025-04-19 00:37:00,20.75,18.968973,0
device_2,2025-04-19 00:38:00,20.875,18.935446,0
device_2,2025-04-19 00:39:00,19.625,18.935446,0
device_2,2025-04-19 00:40:00,14.062,18.935446,1
device_2,2025-04-19 00:41:00,13.5,18.940708,1
device_2,2025-04-19 00:42:00,13.562,18.940708,1
device_2,2025-04-19 00:43:00,13.562,18.995901,1
device_2,2025-04-19 00:44:00,13.187,19.215786,1
device_2,2025-04-19 00:45:00,12.812,19.260262,1
device_2,2025-04-19 00:46:00,12.812,18.587612,1
device_2,2025-04-19 00:47:00,12.875,18.51936,1
device_2,2025-04-19 00:48:00,13.062,18.51936,1
device_2,2025-04-19 00:49:00,15.812,18.506315,1
device_2,2025-04-19 00:50:00,17.062,18.501053,0
device_2,2025-04-19 00:51:00,18.312,18.490055,0
device_2,2025-04-19 00:52:00,19.375,18.490055,0
device_2,2025-04-19 00:53:00,19.937,18.38511,0
device_2,2025-04-19 00:54:00,20.25,18.168867,1
device_2,2025-04-19 00:55:00,20.5,18.142197,1
device_2,2025-04-19 00:56:00,20.687,18.076843,1
device_2,2025-04-19 00:57:00,20.812,17.883926,1
device_2,2025-04-19 00:58:00,20.937,17.860235,1
device_2,2025-04-19 00:59:00,14.812,17.975405,1
device_2,2025-04-19 01:00:00,13.312,17.888678,1
device_2,2025-04-19 01:01:00,13.375,18.142883,1
device_2,2025-04-19 01:02:00,13.75,18.142883,1
device_2,2025-04-19 01:03:00,13.562,18.170237,1
device_2,2025-04-19 01:04:00,12.937,18.170237,1
device_2,2025-04-19 01:05:00,12.625,18.173674,1
device_2,2025-04-19 01:06:00,12.437,18.169855,1
device_2,2025-04-19 01:07:00,12.562,18.281721,1
device_2,2025-04-19 01:08:00,14.812,18.890133,1
device_2,2025-04-19 01:09:00,17.812,19.041622,0
device_2,2025-04-19 01:10:00,19.125,19.14059,0
device_2,2025-04-19 01:11:00,19.812,19.095564,0
device_2,2025-04-19 01:12:00,20.187,19.108608,0
device_2,2025-04-19 01:13:00,20.437,19.108599,0
device_2,2025-04-19 01:14:00,20.562,19.119806,0
device_2,2025-04-19 01:15:00,20.75,19.117428,0
device_2,2025-04-19 01:16:00,20.937,19.117428,0
device_2,2025-04-19 01:17:00,18.5,19.10622,0
device_2,2025-04-19 01:18:00,14.062,19.014265,1
device_2,2025-04-19 01:19:00,13.625,19.014265,1
device_2,2025-04-19 01:20:00,13.562,19.014265,1
device_2,2025-04-19 01:21:00,13.25,19.026402,1
device_2,2025-04-19 01:22:00,12.75,19.03567,1
device_2,2025-04-19 01:23:00,12.75,19.069197,1
device_2,2025-04-19 01:24:00,12.812,19.09661,1
device_2,2025-04-19 01:25:00,12.937,19.13831,1
device_2,2025-04-19 01:26:00,13.312,19.300497,1
device_2,2025-04-19 01:27:00,13.687,19.321976,1
device_2,2025-04-19 01:28:00,17.187,19.318314,1
device_2,2025-04-19 01:29:00,18.812,19.318314,0
device_2,2025-04-19 01:30:00,19.625,19.318314,0
device_2,2025-04-19 01:31:00,20.062,18.790483,0
device_2,2025-04-19 01:32:00,20.312,18.675314,0
device_2,2025-04-19 01:33:00,20.562,18.675314,0
device_2,2025-04-19 01:34:00,20.687,18.653835,1
device_2,2025-04-19 01:35:00,20.875,17.94501,1
device_2,2025-04-19 01:36:00,16.75,17.073786,0
device_2,2025-04-19 01:37:00,13.562,17.000824,1
device_2,2025-04-19 01:38:00,13.312,16.967297,1
device_2,2025-04-19 01:39:00,13.562,16.967297,1
device_2,2025-04-19 01:40:00,13.687,16.967297,1
device_2,2025-04-19 01:41:00,13.375,16.972559,1
device_2,2025-04-19 01:42:00,13.125,17.777172,1
device_2,2025-04-19 01:43:00,13.0,17.859436,1
device_2,2025-04-19 01:44:00,12.75,18.40354,1
device_2,2025-04-19 01:45:00,12.5,18.45678,1
device_2,2025-04-19 01:46:00,15.25,18.670769,1
device_2,2025-04-19 01:47:00,17.937,18.670769,0
device_2,2025-04-19 01:48:00,19.125,18.670769,0
device_2,2025-04-19 01:49:00,19.75,18.657724,0
device_2,2025-04-19 01:50:00,20.187,18.619833,0
device_2,2025-04-19 01:51:00,20.437,18.155378,1
device_2,2025-04-19 01:52:00,20.562,18.155378,1
device_2,2025-04-19 01:53:00,20.75,18.155378,1
device_2,2025-04-19 01:54:00,20.875,17.840982,1
device_2,2025-04-19 01:55:00,18.562,17.769932,0
device_2,2025-04-19 01:56:00,13.812,17.769932,1
device_2,2025-04-19 01:57:00,13.5,17.769932,1
device_2,2025-04-19 01:58:00,13.687,17.769932,1
device_2,2025-04-19 01:59:00,13.75,17.92409,1
device_2,2025-04-19 02:00:00,13.437,18.131844,1
device_2,2025-04-19 02:01:00,13.343499999999999,19.010897,1
device_2,2025-04-19 02:02:00,13.25,19.451126,1
device_2,2025-04-19 02:03:00,13.125,19.565418,1
device_2,2025-04-19 02:04:00,13.125,19.642479,1
device_2,2025-04-19 02:05:00,13.187,19.981277,1
device_2,2025-04-19 02:06:00,14.625,20.19577,1
device_2,2025-04-19 02:07:00,17.625,20.19577,1
device_2,2025-04-19 02:08:00,19.0,20.19577,0
device_2,2025-04-19 02:09:00,19.687,19.810394,0
device_2,2025-04-19 02:10:00,20.125,19.326006,0
device_2,2025-04-19 02:11:00,20.375,19.251537,0
device_2,2025-04-19 02:12:00,20.625,19.12383,0
device_2,2025-04-19 02:13:00,20.75,19.123821,0
device_2,2025-04-19 02:14:00,20.875,19.123821,0
device_2,2025-04-19 02:15:00,17.062,19.011377,0
device_2,2025-04-19 02:16:00,13.875,18.820803,1
device_2,2025-04-19 02:17:00,13.5,18.345133,1
device_2,2025-04-19 02:18:00,13.562,18.28995,1
device_2,2025-04-19 02:19:00,13.562,18.28995,1
device_2,2025-04-19 02:20:00,13.187,18.28995,1
device_2,2025-04-19 02:21:00,12.875,18.607851,1
device_2,2025-04-19 02:22:00,12.75,18.71156,1
device_2,2025-04-19 02:23:00,12.625,18.894377,1
device_2,2025-04-19 02:24:00,12.687,19.220083,1
device_2,2025-04-19 02:25:00,16.0,19.223902,1
device_2,2025-04-19 02:26:00,18.187,19.513311,0
device_2,2025-04-19 02:27:00,19.312,19.57073,0
device_2,2025-04-19 02:28:00,19.875,19.567068,0
device_2,2025-04-19 02:29:00,20.187,19.567068,0
device_2,2025-04-19 02:30:00,20.437,19.567068,0
device_2,2025-04-19 02:31:00,20.625,18.982098,0
device_2,2025-04-19 02:32:00,20.75,18.529345,1
device_2,2025-04-19 02:33:00,20.937,17.868938,1
device_2,2025-04-19 02:34:00,15.5,17.344933,0
device_2,2025-04-19 02:35:00,13.312,17.049498,1
device_2,2025-04-19 02:36:00,13.218499999999999,17.002066,1
device_2,2025-04-19 02:37:00,13.125,16.974653,1
device_2,2025-04-19 02:38:00,13.437,16.966774,1
device_2,2025-04-19 02:39:00,13.5,16.932606,1
device_2,2025-04-19 02:40:00,13.312,16.932606,1
device_2,2025-04-19 02:41:00,13.187,16.937868,1
device_2,2025-04-19 02:42:00,13.187,17.42156,1
device_2,2025-04-19 02:43:00,13.25,18.45071,1
device_2,2025-04-19 02:44:00,13.875,18.709715,1
device_2,2025-04-19 02:45:00,17.125,18.709715,0
device_2,2025-04-19 02:46:00,18.75,18.709715,0
device_2,2025-04-19 02:47:00,19.562,18.709715,0
device_2,2025-04-19 02:48:00,20.0,18.709715,0
device_2,2025-04-19 02:49:00,20.312,18.709715,0
device_2,2025-04-19 02:50:00,20.5,18.704453,0
device_2,2025-04-19 02:51:00,20.75,18.704453,1
device_2,2025-04-19 02:52:00,20.937,18.704453,1
device_2,2025-04-19 02:53:00,18.75,18.704453,0
